,precision,recall,f1-score,support
airplane,0.7290552584670231,0.818,0.7709707822808671,1000.0
automobile,0.8893709327548807,0.82,0.8532778355879292,1000.0
bird,0.7753846153846153,0.504,0.610909090909091,1000.0
cat,0.486651411136537,0.638,0.552141929900476,1000.0
deer,0.6976976976976977,0.697,0.6973486743371686,1000.0
dog,0.6556701030927835,0.636,0.6456852791878173,1000.0
frog,0.794949494949495,0.787,0.7909547738693468,1000.0
horse,0.7854291417165669,0.787,0.7862137862137862,1000.0
ship,0.8228460793804453,0.85,0.8362026561731432,1000.0
truck,0.8141858141858141,0.815,0.8145927036481759,1000.0
accuracy,0.7352,0.7352,0.7352,0.7352
macro avg,0.7451240548765858,0.7351999999999999,0.7358297512107802,10000.0
weighted avg,0.7451240548765858,0.7352,0.7358297512107802,10000.0
