,precision,recall,f1-score,support
airplane,0.813508064516129,0.807,0.8102409638554217,1000.0
automobile,0.8861386138613861,0.895,0.8905472636815921,1000.0
bird,0.8860544217687075,0.521,0.6561712846347607,1000.0
cat,0.764179104477612,0.512,0.6131736526946108,1000.0
deer,0.7420318725099602,0.745,0.7435129740518962,1000.0
dog,0.7470775770456961,0.703,0.7243688820195775,1000.0
frog,0.6511954992967651,0.926,0.7646573080099092,1000.0
horse,0.8217054263565892,0.848,0.8346456692913385,1000.0
ship,0.9006276150627615,0.861,0.8803680981595092,1000.0
truck,0.6794223826714801,0.941,0.7890985324947589,1000.0
accuracy,0.7759,0.7759,0.7759,0.7759
macro avg,0.7891940577567087,0.7758999999999999,0.7706784628893374,10000.0
weighted avg,0.7891940577567087,0.7759,0.7706784628893374,10000.0
