,precision,recall,f1-score,support
airplane,0.8527493010251631,0.915,0.8827785817655571,1000.0
automobile,0.9432048681541582,0.93,0.9365558912386707,1000.0
bird,0.9057017543859649,0.826,0.8640167364016736,1000.0
cat,0.7450980392156863,0.798,0.7706422018348624,1000.0
deer,0.8334928229665072,0.871,0.8518337408312958,1000.0
dog,0.8898007033997656,0.759,0.8192120885051268,1000.0
frog,0.8876080691642652,0.924,0.9054385105340519,1000.0
horse,0.8824101068999028,0.908,0.8950221784130113,1000.0
ship,0.9268537074148296,0.925,0.9259259259259259,1000.0
truck,0.9284274193548387,0.921,0.9246987951807228,1000.0
accuracy,0.8777,0.8777,0.8777,0.8777
macro avg,0.8795346791981082,0.8776999999999999,0.8776124650630898,10000.0
weighted avg,0.8795346791981082,0.8777,0.8776124650630898,10000.0
